Metrics\Shifts,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0
MSE,0.5853794,0.3746426,0.21073696,0.093662545,0.023416778,0.0,0.019155987,0.04128168,0.0490479,0.054342225,0.058412
MAE,0.74949884,0.59959835,0.44969878,0.29980004,0.14990054,0.0,0.13402525,0.19285664,0.20801201,0.21665107,0.2225314
MI,-2.603508229316598e-16,3.1436233795156032,3.813405914813591,4.194478385589336,4.472368752044055,4.748574494140179,3.8565098705135745,1.5503835521427138,1.0133886020712557,0.775953012585713,0.6394107398687141
NMI,-1.172515869140625,0.8136425032275418,0.8961379929284771,0.9398474180405514,0.9704813067298732,1.0,0.9011884062161393,0.5713969902090419,0.4619621351244832,0.40423702037095605,0.36695121970121475
PSNR,2.3256254,4.2638283,6.7625923,10.284341,16.304728,inf,17.176954,13.842425,13.093795,12.648625,12.334979
NCC,1,0.9993512857433725,0.9998370940601052,0.999927578265666,0.9999594105922635,1.0,0.9825331151360448,0.9164195710266158,0.8706489102080176,0.8286619109871839,0.7903514795896278
Nx2CC,1.0,0.9996756428716862,0.9999185470300527,0.999963789132833,0.9999797052961317,1.0,0.9912665575680224,0.9582097855133078,0.9353244551040087,0.9143309554935919,0.8951757397948139
SSIM,0.00012190221,0.2773614,0.5883374,0.8298761,0.9623861,1.0,0.93325406,0.7374638,0.6673351,0.63198036,0.6093494
NSSIM,0.5000609511043876,0.6386806964874268,0.7941687107086182,0.9149380624294281,0.9811930358409882,1.0,0.9666270315647125,0.8687318861484528,0.8336675465106964,0.8159901797771454,0.8046747148036957
